attributed_by,cause_attributed,claim_id,contested_by,doc_date,document,source_id,supporting_line,tier,topic
WHO,"COVID-19 pandemic — social isolation, work/support constraints, loneliness, fear of infection, grief, financial worries — driving 25% global increase in anxiety and depression",c11,,2022-03-02,News release + scientific brief,hs054,One major explanation for the increase is the unprecedented stress caused by the social isolation resulting from the pandemic.,A,depression_anxiety_rise
US Surgeon General,"Pre-pandemic societal stressors (climate change, income inequality, racial injustice, opioid epidemic, gun violence), self-worth-eroding media messages, irresponsibly deployed technology; pandemic exacerbation",c12,,2021-12,Protecting Youth Mental Health (advisory),hs089,Young people are bombarded with messages through the media and popular culture that erode their sense of self-worth.,A,depression_anxiety_rise
US Surgeon General,Heavy social media use (>3 hrs/day) as risk factor doubling adolescents' risk of depression and anxiety symptoms,c13,"Odgers (2024), Nature (c14)",2023-05,Social Media and Youth Mental Health (advisory),hs090,"Adolescents who spent more than 3 hours per day on social media faced double the risk of experiencing poor mental health outcomes. (Advisory notes most research is correlational, relationship 'complex and potentially bidirectional.')",A,depression_anxiety_rise
Candice L. Odgers (Nature review),"COUNTER-ATTRIBUTION: social media/smartphone causation of teen mental illness rise unsupported; causes attributed instead to poverty, violence, discrimination, opioid epidemic, inadequate mental health services",c14,,2024-03-29,The great rewiring: is social media really behind an epidemic of teenage mental illness?,hs094,The book's repeated suggestion that digital technologies are rewiring our children's brains and causing an epidemic of mental illness is not supported by science.,A,depression_anxiety_rise
US Surgeon General,Loneliness and social isolation as contributors to depression and anxiety across age groups,c15,,2023-05,Our Epidemic of Loneliness and Isolation (advisory),hs088,The odds of developing depression in adults is more than double among people who report feeling lonely often.,A,depression_anxiety_rise
US Surgeon General,"For worsening parental mental health: financial strain, work-family conflict, children's health struggles, social isolation, online 'culture of comparison,' children's technology/social media use",c16,,2024,Parents Under Pressure (advisory),hs091,"Nearly 70% of parents say parenting is now more difficult than it was 20 years ago, with children's use of technology and social media as the top two cited reasons.",A,depression_anxiety_rise
HRSA National Center for Health Workforce Analysis,"Behavioral health workforce shortage as driver of unmet mental health need (projected 2038 shortfalls: 99,780 mental health counselors, 99,840 psychologists, 43,810 psychiatrists)",c17,,2025-12,Health Workforce Projections: Behavioral Health (updated Dec 2025),hs098,These estimates do not address the large amount of unmet need that exists for these same services.,A,depression_anxiety_rise
"US Departments of Labor, HHS, Treasury","Health-plan noncompliance with mental health parity law (stricter prior authorization, step therapy, reimbursement limits on MH/SUD benefits) as barrier restricting access",c18,,2022-01,2022 MHPAEA Report to Congress,hs099,"EBSA identified impermissible treatment limitations applied only to MH/SUD benefits, preventing individuals from accessing covered care.",A,depression_anxiety_rise
"CDC (Danielson et al., MMWR)",Pandemic-era telehealth expansion and easing of in-person visit requirement for Schedule II prescriptions as hypothesized contributors to rising stimulant fills,c19,,2023-03,"Trends in Stimulant Prescription Fills Among Commercially Insured Children and Adults — United States, 2016–2021",hs078,The combination of potential increased need and reduced barriers to access might have encouraged more adults with ADHD symptoms to seek diagnosis and treatment. (Authors caution increases 'cannot be directly attributed' to telehealth policies.),A,rising_psychiatric_prescribing
Kazda et al. (systematic scoping review),Diagnostic expansion/overdiagnosis: broadening of ADHD criteria and diagnosis of milder cases contributing to rising diagnosis and treatment rates in youth,c20,,2021-04-12,JAMA Network Open 4(4),hs100,This review found evidence of ADHD overdiagnosis and overtreatment in children and adolescents.,A,rising_psychiatric_prescribing
Mojtabai & Olfson,Growth in US antidepressant use attributed to lengthening duration of treatment (long-term use >=24 months) rather than more short-term initiations,c21,,2014-02,Journal of Clinical Psychiatry 75(2),hs101,Long-term use rose from 3.0% to 6.9% (1999-2010) while medium- and short-term use did not change appreciably.,A,rising_psychiatric_prescribing
American Cancer Society (Siegel et al.),"Reductions in smoking, earlier detection, treatment advances",c22,,,"Cancer Statistics 2026 press release, 2026-01-13",hs041,,A,cancer_mortality_decline
BMJ Oncology study authors,"Diets high in red meat and salt, low fruit/milk; alcohol; tobacco; physical inactivity, excess weight, high blood sugar as contributing",c23,,,"Global trends in early-onset cancer 1990-2019, 2023-09-05",hs045,,A,early_onset_cancer_rise
BMJ Oncology study authors,Part of recorded rise may reflect registry data quality; unclear contribution of screening and early-life environmental exposure,c24,,,Same study press release,hs045,,A,early_onset_cancer_measurement_caveat
American Cancer Society (Cancer Statistics 2026),"Decreasing fertility rates and rising obesity as primary drivers; alcohol (16% of cases), inactivity (7%)",c25,,,ACS Cancer Statistics 2026 via Docwire News,hs046,,B,breast_cancer_incidence_rise
American Cancer Society researchers,Screening at 45+ ('Starting screening at age 45 works'); young-onset rise explicitly UNEXPLAINED per ACS,c26,,,Colorectal Cancer Statistics 2026 (2026-03-02),hs044,,A,colorectal_cancer_decline_older_adults
WHO,"Social isolation, work/support constraints, loneliness, fear of infection, grief, financial worries; young people and women most affected",c27,,,"WHO scientific brief + news release, 2022-03-02",hs054,,A,pandemic_mental_health_rise
CDC,"Naloxone distribution, better treatment access, shifts in illegal drug supply, resumed prevention post-pandemic, prevention investment",c28,,,"CDC media release, 2025-02-25",hs058,,A,overdose_death_decline
Peterson-KFF analysts,"Declines in mortality from unintentional injuries (drug overdoses), COVID-19, chronic diseases",c29,,,US life expectancy comparison (updated 2026-03-31),hs063,,B,life_expectancy_recovery_2024
"Newman, Branford, Laugharne, Byng & Shankar","Off-label/off-licence use (autism, EUPD, challenging behaviour, dementia), shift from specialists to GPs, 'medicalisation' of psychosocial distress — NOT rising psychosis prevalence",c30,,,"BJPsych Open, 2025-07-16",hs071,,A,antipsychotic_prescribing_rise_england
Danielson et al. (CDC),"Telehealth expansion + eased in-person requirements for Schedule II prescribing during COVID-19, plus pandemic mental-health strain (authors caution: cannot be directly attributed)",c31,,,"MMWR 72(13), 2023-03-30",hs078,,A,stimulant_prescribing_rise_us_2020_2021
HHS ASPE,"'Growing awareness, detection, and treatment of adult ADHD'",c32,,,"ASPE Data Point, Apr 2025",hs077,,A,adult_stimulant_use_rise_us
Kao-Ping Chua (U. Michigan),Pandemic mental-health deterioration + 6-9-month psychotherapy waitlists pushing prescribing; male adolescent decline attributed to reduced healthcare contact/school closures cutting detection,c33,,,"Chua et al., Pediatrics, 2024-02-26 (via IHPI release)",hs080,,B,antidepressant_surge_us_youth
FDA,Teva manufacturing delays + insufficient supply from other manufacturers vs US demand,c34,,,"'FDA Announces Shortage of Adderall', 2022-10-12",hs085,,A,adderall_shortage_2022
GBD 2021 schizophrenia analysis authors,Population growth and ageing — explicitly not rising age-standardised rates,c35,,,"Frontiers in Psychiatry, 2025",hs073,,A,rising_schizophrenia_case_counts
Köhler-Forsberg et al.,"Diagnostic transition/reclassification within the spectrum (schizotypal growth; ~3% rediagnosis), not rising incidence",c36,,,"Acta Psychiatrica Scandinavica, 2023",hs075,,A,schizophrenia_spectrum_diagnosis_mix_denmark
